`ויניירה,vinyera,L
אאב'לאר,a_avlar,L
אאבאסטיסורליס,a_abastarselos,L
אאוגאדוס,aogados,L
אאוגאר,aogar,L
אאוגארון,aogaron,L
אאוטרה,a_otra,L
אאוטרו,a_otro,L
אאוטרוס,a_otros,L
אאולב'ידאר,a_olvidar,L
אאולב'ידארמוס,a_olvidarmos,L
אאולב'ידארסי,a_olvidarse,L
אאולגאנטארה,aolgantara,L
אאולייר,a_oyir,L
אאומאדה,aumada,L
אאומאדו,aumado,L
אאון,aun,L
אאונאדאס,aunadas,L
אאונאדו,aunado,L
אאונאדוס,aunados,L
אאונאמיינטו,aunamyento,L
אאונאראמוס,aunaramos,L
אאונארון,aunaron,L
אאונדאדאס,aondadas,L
אאונדאדוס,aondados,L
אאונדאמיינטו,aondamyento,L
אאונדאן,aondan,L
אאונדארה,aondara,L
אאונדו,aondo,L
אאונדימוס,aondemos,L
אאונה,auna,L
אאונו,a_uno,L
אאזיר,a_azer,L
אאזירלו,a_azerlo,L
אאי,ai,L
אאיז'אדו,aijado,L
אאיז'וס,a_ijos,L
אאיל,a_el,L
אאילייא,a_eya,L
אאילייוס,a_eyos,L
אאינדה,ainda,L
אאינטינדיר,a_entender,L
אאינטינדירלו,a_entenderlo,L
אאינטראר,a_entrar,L
אאינטרימיטירטי,a_entremeterse,L
אאינכביזאר,a_enbezar,L
אאינמינטאר,a_enmentar,L
אאיסטאר,a_estar,L
אאיסטה,a_esta,L
אאיסטוס,a_estos,L
אאיסטי,a_este,L
אאיסייאנוס,aisyanos,L
אאיסקאפאר,a_eskapar,L
אאיסקלאמאר,a_esklamar,L
אאיסקריב'ירלו,a_eskrivirlo,L
אאיר,a_ir,L
אאירידאר,a_eredar,L
אאלאב'אר,a_alavar,L
אאלגונה,a_alguna,L
אאפ'אלאגארב'וס,a_afalagarvos,L
אאקוז'יר,a_akojer,L
אאקיאה,a_akea,L
אאראב'ייארסי,a_arravyarse,L
אארטורה,a_artura,L
אב,av,H
אב'אגאר,avagar,L
אב'אגאריקו,avagariko,L
אב'אדאליקיס,avadalikes,T
אב'אלי,avali,T
אב'אנטי,avante,L
אב'אנסאב'ה,avansava,L
אב'אנסאדו,avansado,L
אב'אנסאן,avansan,L
אב'אנסאר,avansar,L
אב'אנסארלי,avansarle,L
אב'אנסה,avansa,L
אב'אנסו,avanso,L
אב'אנסוס,avansos,L
אב'אנסי,avanse,L
אב'וגאדוריס,avogadores,L
אב'וזוטרוס,a_vozotros,L
אב'וקאטו,avokato,L
אב'וקאטוס,avokatos,L
אב'י,ave,L
אב'יאה,avia,L
אב'יאן,avian,L
אב'יז'יטאר,a_vijitar,L
אב'יזאדאס,avizadas,L
אב'יזאדו,avizado,L
אב'יזאן,avizan,L
אב'יזארה,avizara,L
אב'יזארון,avizaron,L
אב'יזארימוס,avizaremos,L
אב'יזארליס,avizarles,L
אב'יזארמוס,avizarmos,L
אב'יזה,aviza,L
אב'יזו,avizo,L
אב'יזוס,avizos,L
אב'יזימוס,avizimos,L
אב'ייאה,aviya,L
אב'יינדו,avyendo,L
אב'יינין,avyenen,L
אב'יירטאס,avyertas,L
אב'יירטה,avyerta,L
אב'יירטו,avyerto,L
אב'יירטוס,avyertos,L
אב'ינגארי,avengare,L
אב'ינגה,avenga,L
אב'ינטוראדו,aventurado,L
אב'ינידו,avenido,L
אב'ינידוס,avenidos,L
אב'ינימיינטו,avenimyento,L
אב'יניר,avenir,L
אב'ינירלוס,avenirlos,L
אב'יס,aves,L
אב'יסייאר,avisyar,L
אב'יר,aver,L
אב'ירגואינסאדה,averguensada,L
אב'ירגואינסאדו,averguensado,L
אב'ירגואינסאדוס,averguensados,L
אב'ירגואינסאן,averguensan,L
אב'ירגואינסאר,averguensar,L
אב'ירגואינסאראן,averguensaran,L
אב'ירגואינסארי,averguensare,L
אב'ירגואינסארלוס,averguensarlos,L
אב'ירגואינסארסי,averguensarse,L
אב'ירגואינסה,averguensa,L
אב'ירגואינסו,averguenso,L
אב'ירגואינסי,averguense,L
אב'ירגואינסימוס,averguensemos,L
אב'ירגואינסין,averguensen,L
אב'ירגונסאדו,avergonsado,L
אב'ירגונסאר,avergonsar,L
אב'ירגונסארסי,avergonsarse,L
אב'לאב'אן,avlavan,L
אב'לאב'אס,avlavas,L
אב'לאב'ה,avlava,L
אב'לאדה,avlada,L
אב'לאדו,avlado,L
אב'לאדוס,avlados,L
אב'לאדור,avlador,L
אב'לאדוריס,avladores,L
אב'לאמוס,avlamos,L
אב'לאן,avlan,L
אב'לאנדו,avlando,L
אב'לאנטיס,avlantes,L
אב'לאס,avlas,L
אב'לאסטיס,avlastes,L
אב'לאסטיש,avlastesh,L
אב'לאר,avlar,L
אב'לאראן,avlaran,L
אב'לאראש,avlarash,L
אב'לארה,avlara,L
אב'לארון,avlaron,L
אב'לארי,avlare,L
אב'לארלה,avlarla,L
אב'לארלו,avlarlo,L
אב'לארלי,avlarle,L
אב'לאש,avlash,L
אב'לה,avla,L
אב'לו,avlo,L
אב'לי,avle,L
אב'לימוס,avlemos,L
אב'לין,avlen,L
אב'ראמוס,avramos,L
אב'ראן,avran,L
אב'רה,avra,L
אב'רי,avre,L
אב'ריאה,avria,L
אב'רייו,avriyo,L
אב'ריירון,avriyeron,L
אב'רין,avren,L
אב'ריר,avrir,L
אב'רירה,avrira,L
אב'רירי,avrire,L
אב'רירלה,avrirla,L
אב'רירלי,avrirle,L
אבאטה,abata,L
אבאטי,abate,L
אבאטידו,abatido,L
אבאטידוס,abatidos,L
אבאטייו,abatyo,L
אבאטימיינטו,abatimyento,L
אבאטין,abaten,L
אבאטיסייון,abatisyon,L
אבאטיר,abatir,L
אבאטירלו,abatirlo,L
אבאיי,abaye,T
אבאנדונאר,abandonar,L
אבאנדונארון,abandonaron,L
אבאנדונו,abandono,L
אבאס,abas,T
אבאסטאב'ה,abastava,L
